,brand,age,name,abv,rating,No. rating,nose,taste,finish
0,Lagavulin,16Y,, 43%,4.5,985,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:50%']"
1,Ardbeg,10Y,TEN, 46%,4.1,719,"['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Sweet:60%']","['Peat Smoke:100%', 'Sweet:50%']"
2,Balvenie,12Y,Double Wood, 40%,3.9,688,"['Sweet:100%', 'Vanilla:80%']","['Sweet:100%', 'Nuts:60%']","['Sweet:100%', 'Oak:100%']"
3,Highland Park,12Y,, 40%,3.7,685,"['Peat Smoke:100%', 'Sweet:70%']","['Sweet:100%', 'Peat Smoke:100%']","['Peat Smoke:100%', 'Spices:50%']"
4,Laphroaig,10Y,, 40%,3.8,599,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Maritime Notes:60%']","['Peat Smoke:100%', 'Maritime Notes:50%']"
5,Ardbeg,,Uigeadail, 54.2%,4.6,590,"['Peat Smoke:100%', 'Sweet:80%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:50%']"
6,Glenmorangie,10Y,The Original, 40%,3.3,552,"['Sweet:100%', 'Fruit:100%']","['Sweet:100%', 'Fruit:90%']","['Fruit:100%', 'Sweet:100%']"
7,Dalwhinnie,15Y,, 43%,3.5,476,"['Sweet:100%', 'Fruit:90%']","['Sweet:100%', 'Honey:70%']","['Malt:100%', 'Oak:100%']"
8,Glenfiddich,12Y,, 40%,2.9,450,"['Fruit:100%', 'Pear:50%']","['Fruit:100%', 'Malt:70%']","['Malt:100%', 'Oak:100%']"
9,Talisker,10Y,, 45.8%,4.0,444,"['Peat Smoke:100%', 'Maritime Notes:60%']","['Spices:100%', 'Pepper:70%']","['Spices:100%', 'Peat Smoke:70%']"
10,Bunnahabhain,12Y,old Design, 46.3%,4.0,444,"['Peat Smoke:100%', 'Sweet:80%']","['Sweet:100%', 'Malt:80%']","['Sweet:100%', 'Malt:80%']"
11,Bowmore,12Y,(new cardboard box), 40%,3.5,444,"['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:70%']","['Peat Smoke:100%', 'Sweet:50%']"
12,Auchentoshan,,Three Wood, 43%,3.8,395,"['Sherry:100%', 'Fruit:100%']","['Fruit:100%', 'Sweet:100%']","['Sweet:100%', 'Fruit:100%']"
